# ANNOTATIONS
uid,text,annotation_type,start_offset,end_offset,color,source,confidence
a7f08089-4aee-4861-8fb9-5aaa8532cff8,#,PUNCT,1870,1871,#9E9E9E,multilevel_nlp,1
6d482016-72c9-4215-a174-c25d5565c5dc,The,DET,1872,1875,#795548,multilevel_nlp,1
a5f86db2-fc1c-4fd7-a949-c0ec5912678f,hallmarks,ENTITY,1876,1885,#795548,multilevel_nlp,1
82224eea-d27f-4a32-bed6-c062df17dea7,hallmarks,NOUN,1876,1885,#4CAF50,multilevel_nlp,1
7064fa73-2922-4f27-9dd6-55b20dfad10c,of,ADP,1886,1888,#607D8B,multilevel_nlp,1
2a15a9df-b7dd-430a-bd1c-5d98b4a59d4e,Parkinson 's disease,ENTITY,1889,1908,#795548,multilevel_nlp,1
aa48fac6-ab68-4ec2-b421-a2739d54624a,Parkinson,NOUN,1889,1898,#4CAF50,multilevel_nlp,1
8949ce44-ebb8-4ae2-99aa-7f9c396f8671,'s,PART,1898,1900,#9E9E9E,multilevel_nlp,1
82adf580-05ee-4897-bd50-cf5007b8fb87,disease,NOUN,1901,1908,#4CAF50,multilevel_nlp,1
3d844b94-ee94-46ab-a4a7-d86cf5e3e3d8,#,PUNCT,1910,1911,#9E9E9E,multilevel_nlp,1
6d898c31-b6dc-4b8b-95b3-1906aa247cf8,#,PUNCT,1911,1912,#9E9E9E,multilevel_nlp,1
2983ec90-8763-46a7-bbef-2cd99656623d,Abstract,NOUN,1913,1921,#4CAF50,multilevel_nlp,1
a06b4c36-deb5-4f36-9e9f-d17eeb4c5549,Since,SCONJ,1923,1928,#9E9E9E,multilevel_nlp,1
10b737f5ee1b4097806fb02a03e87fb2,"Since the discovery of dopamine as a neurotransmitter in the 1950s, Parkinson's disease (PD) research has generated a rich and complex body of knowledge, revealing PD to be an age-related multifactorial disease, influenced by both genetic and environmental factors.",Фрагмент ведёт к успеху,1923,2188,#81C784,user,0.8
28b130e6-cbcb-4874-ae0b-abe146084a72,the,DET,1929,1932,#795548,multilevel_nlp,1
ab67a1e3-864e-4b7e-9b2f-35476a184f85,discovery,NOUN,1933,1942,#4CAF50,multilevel_nlp,1
f95a9260-ab29-4e95-932e-4c9c6a1941ea,discovery,ENTITY,1933,1942,#795548,multilevel_nlp,1
f801650f-31a2-4dfb-9fd2-d4c166c1dab4,of,ADP,1943,1945,#607D8B,multilevel_nlp,1
8e1cf14f-0d23-4e42-9c7e-b0612b4b3b4f,dopamine,ENTITY,1946,1954,#795548,multilevel_nlp,1
37a84372-1071-4ee4-b115-4f4940afec57,dopamine,NOUN,1946,1954,#4CAF50,multilevel_nlp,1
f1926d24-5aca-454f-91e7-8fafd4a8147b,as,ADP,1955,1957,#607D8B,multilevel_nlp,1
495f9120-94c8-4800-8ba2-36d7f8cb4394,a,DET,1958,1959,#795548,multilevel_nlp,1
d411e29f-2dd7-408e-aec7-ca684cc75995,neurotransmitter,ENTITY,1960,1976,#795548,multilevel_nlp,1
ecaaf25f-749f-434a-b924-f072b2354bd8,neurotransmitter,NOUN,1960,1976,#4CAF50,multilevel_nlp,1
b946d35e-55c3-43f2-a11f-36998baaadff,in,ADP,1977,1979,#607D8B,multilevel_nlp,1
d1051566-7d11-41d0-99fb-371280b8da82,the,DET,1980,1983,#795548,multilevel_nlp,1
b23860e9-1796-4b31-ba4a-d43bd541d770,1950s,NUM,1984,1989,#FFC107,multilevel_nlp,1
270f02ba-d0df-4533-954c-aaa876c98f41,",",PUNCT,1989,1990,#9E9E9E,multilevel_nlp,1
19588266-9c39-462e-a280-f4667a4f10b5,Parkinson,NOUN,1991,2000,#4CAF50,multilevel_nlp,1
0bba9f30-886e-4402-9923-8c4d856d61d6,Parkinson 's disease,ENTITY,1991,2010,#795548,multilevel_nlp,1
6044a18b-60f7-4227-ae0b-9bb654ac7e25,'s,PART,2000,2002,#9E9E9E,multilevel_nlp,1
fb21a259-ebcf-4442-acfd-d379dc00796c,disease,NOUN,2003,2010,#4CAF50,multilevel_nlp,1
b6a92ad6-62e8-451b-a498-52d1b817ef77,(,PUNCT,2011,2012,#9E9E9E,multilevel_nlp,1
485033ac-7446-417b-a814-5003798f94ca,PD,NOUN,2012,2014,#4CAF50,multilevel_nlp,1
dce1f6b0-6da9-43f3-8786-ce771122804c,PD,ENTITY,2012,2014,#795548,multilevel_nlp,1
